bc/samples_so_far,bc/l2_norm,bc/l2_loss,bc/entropy,bc/prob_true_act,batch_size,bc/neglogp,bc/training_loss,bc/ent_loss,bc/test_loss,bc/epoch,bc/batch
32,128.5002899169922,0.0,1.7917555570602417,0.16662676632404327,32,1.7920010089874268,1.7902092933654785,-0.0017917556688189507,1.7873833179473877,0,0
16032,171.27818298339844,0.0,0.9191782474517822,0.5792850255966187,32,0.6942850351333618,0.6933658719062805,-0.0009191783028654754,0.6322763562202454,0,500
32032,184.84596252441406,0.0,0.7344933152198792,0.6291788816452026,32,0.6975955963134766,0.6968610882759094,-0.0007344933692365885,0.5901526808738708,1,1000
48032,191.74713134765625,0.0,0.6291489601135254,0.7213643789291382,32,0.49968206882476807,0.49905291199684143,-0.0006291489698924124,0.586419939994812,1,1500
64032,197.21458435058594,0.0,0.4639582633972168,0.7533532977104187,32,0.44590330123901367,0.44543933868408203,-0.0004639582766685635,0.5690231323242188,2,2000
80032,201.3682861328125,0.0,0.6405057907104492,0.6853547692298889,32,0.5656824707984924,0.5650419592857361,-0.0006405058084055781,0.5684692859649658,2,2500
96032,205.1114959716797,0.0,0.5293431878089905,0.6889805793762207,32,0.6526225805282593,0.652093231678009,-0.0005293432041071355,0.5680848956108093,3,3000
112032,208.69113159179688,0.0,0.5020968914031982,0.744722843170166,32,0.4881645143032074,0.4876624047756195,-0.0005020968965254724,0.5735405087471008,3,3500
128032,212.49940490722656,0.0,0.605182945728302,0.6550981998443604,32,0.7115241289138794,0.7109189629554749,-0.0006051829550415277,0.5644765496253967,4,4000
144032,216.366943359375,0.0,0.43572574853897095,0.828920304775238,32,0.2503093481063843,0.24987362325191498,-0.0004357257566880435,0.5664094090461731,4,4500
160032,220.23716735839844,0.0,0.5385251641273499,0.7318633198738098,32,0.4804685711860657,0.47993004322052,-0.0005385251715779305,0.5604925155639648,5,5000
176032,224.18186950683594,0.0,0.5781140327453613,0.7602397203445435,32,0.36299455165863037,0.36241644620895386,-0.0005781140644103289,0.563875675201416,5,5500
192032,228.72198486328125,0.0,0.33898234367370605,0.8431984782218933,32,0.26555579900741577,0.2652168273925781,-0.000338982354151085,0.5593382716178894,6,6000
208032,233.8925018310547,0.0,0.700026273727417,0.6818594336509705,32,0.5133869051933289,0.5126869082450867,-0.0007000262849032879,0.5641859173774719,6,6500
224032,238.81820678710938,0.0,0.6464543342590332,0.6890461444854736,32,0.5364066958427429,0.535760223865509,-0.0006464543403126299,0.5625448226928711,7,7000
240032,244.0841522216797,0.0,0.48019278049468994,0.770570695400238,32,0.3854750394821167,0.38499483466148376,-0.00048019280075095594,0.5673816204071045,7,7500
256032,249.8065643310547,0.0,0.5222071409225464,0.7465816140174866,32,0.4647955596446991,0.4642733633518219,-0.0005222071777097881,0.5598869919776917,8,8000
272032,255.6658935546875,0.0,0.7275898456573486,0.6022140979766846,32,0.795963704586029,0.7952361106872559,-0.0007275898824445903,0.5601614713668823,8,8500
288032,261.92742919921875,0.0,0.6582117080688477,0.6204137802124023,32,0.7809374332427979,0.7802792191505432,-0.0006582117639482021,0.5666611194610596,9,9000
304032,267.9253845214844,0.0,0.46954503655433655,0.8109867572784424,32,0.2907213866710663,0.29025185108184814,-0.0004695450479630381,0.5684347748756409,9,9500
